,category_name,title,link,author,year,rating,num_of_people,price_in_dollars,years
0,arts_photo,"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away  ",https://www.amazon.com/Silent-Wife-gripping-emotional-page-turner/dp/1538714655/ref=sr_1_1?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-1,Kerry Fisher,2018-11-13,4.3,18070,8.97,2018
3,arts_photo,"WTF Is My Password: password book, password log book and internet password organizer, alphabetical password book, Logbook To Protect Usernames and ... notebook, password book small 6” x 9”  ",https://www.amazon.com/WTF-Password-organizer-alphabetical-Usernames/dp/1090933193/ref=sr_1_4?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-4,Booki Nova,2019-03-19,4.6,2548,5.38,2019
6,arts_photo,Everything You Need to Know When I'm Gone - End of Life Planner for Affairs and Last Wishes: A Simple Guide for my Family to Make my Passing Easier  ,https://www.amazon.com/Everything-Need-Know-When-Gone/dp/1797877232/ref=sr_1_7?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-7,Ava Brinle,2019-02-23,4.3,2046,11.95,2019
10,arts_photo,"End Of Online Shopping, The: The Future Of New Retail In An Always Connected World  ",https://www.amazon.com/End-Online-Shopping-Future-Connected/dp/981327476X/ref=sr_1_11?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-11,Wijnand Jongen,2018-09-30,4.1,7,24.9,2018
15,arts_photo,"Online Shopping Tracker: Tracking Organizer Notebook For Online, Purchases,Order,Shopping Expense,Personal Log Book Fashion and Clothes Accessories Pattern  ",https://www.amazon.com/Online-Shopping-Tracker-Organizer-Accessories/dp/1711701130/ref=sr_1_16?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-16,Adam Krypton Publishing,2019-11-26,4.0,1,5.89,2019
16,arts_photo,Online Shopping Tracker: Keep Tracking Organizer Notebook for online purchases or shopping orders made through an online website (Vol : 2) (Order log)  ,https://www.amazon.com/Online-Shopping-Tracker-Organizer-purchases/dp/1679906771/ref=sr_1_17?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893143&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-17,Isabelle C. Gent,2019-12-26,4.4,11,6.99,2019
22,arts_photo,What to Do When I am Dead: A Checklist for my Family - A Journal to help your Near & Dear ones navigate Life's Landscape once you are gone  ,https://www.amazon.com/What-When-Dead-Checklist-Landscape/dp/1706100051/ref=sr_1_23?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893252&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-23,Amy Swoat,2019-11-06,4.3,140,9.95,2019
24,arts_photo,The Personal Internet Address & Password Logbook (removable cover band for security)  ,https://www.amazon.com/Personal-Internet-Address-Password-Book/dp/1441303251/ref=sr_1_25?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893252&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-25,Inc. Peter Pauper Press and Peter Pauper Press,2010-05-31,4.6,22806,7.67,2010
26,arts_photo,Scam Proof Your Online Shopping - Safety Tips For Shopping Online (Online Shopping Credit Card Safety Book 1)  ,https://www.amazon.com/Scam-Proof-Your-Online-Shopping-ebook/dp/B009C94MJU/ref=sr_1_27?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893252&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-27,Donald Gilbert,2012-09-16,4.8,14,0.0,2012
32,arts_photo,"Shit I Can’t Remember: password book, password log book and internet password organizer, alphabetical password book, Logbook To Protect Usernames and ... notebook, password book small 6” x 9”  ",https://www.amazon.com/Shit-Cant-Remember-organizer-alphabetical/dp/1672005914/ref=sr_1_33?adgrpid=84486094307&gclid=CjwKCAjwwab7BRBAEiwAapqpTDYtTN8aym2q_rlYn1VdmofKw0_bzkd6xjaCl8cMY4syjbPZMKNMjxoCLIYQAvD_BwE&hvadid=393524136919&hvdev=c&hvlocphy=1010294&hvnetw=g&hvqmt=b&hvrand=2170543926145783317&hvtargid=kwd-469356929&hydadcr=22365_10729094&keywords=amazon+shopping+online&qid=1664893252&qu=eyJxc2MiOiI3Ljc5IiwicXNhIjoiNy4xMCIsInFzcCI6IjQuOTkifQ%3D%3D&s=books&sr=1-33,Frid Huu,2019-12-05,4.6,2945,6.95,2019
